0.0,0.0,4.0,-0.70710678,0.0,0.0,0.70710678
0.0,0.2,4.0,-0.70710678,0.0,0.0,0.70710678
0.00952381,-0.37460317,2.44444444,-0.70710678,0.0,0.0,0.70710678
0.00952381,-0.37460317,2.44444444,-0.70710678,0.0,0.0,0.70710678
0.00952381,-0.37460317,2.44444444,-0.70710678,0.0,0.0,0.70710678
1.54025754,-0.37460317,2.13996257,0.69351992,0.13794969,0.13794969,0.69351992
2.83795093,-0.37460317,1.27287156,0.65328148,0.27059805,0.27059805,0.65328148
3.70504194,-0.37460317,-0.02482183,0.5879378,0.39284748,0.39284748,0.5879378
4.00952381,-0.37460317,-1.55555556,0.5,0.5,0.5,0.5
4.00952381,-0.37460317,-1.55555556,0.5,0.5,0.5,0.5
0.00952381,3.62539683,-1.55555556,-0.0,0.0,0.70710678,0.70710678
-3.99047619,-0.37460317,-1.55555556,0.5,0.5,-0.5,-0.5
0.00952381,-4.37460317,-1.55555556,0.70710678,0.70710678,0.0,-0.0
4.00952381,-0.37460317,-1.55555556,0.5,0.5,0.5,0.5
4.00952381,-0.37460317,-1.55555556,0.5,0.5,0.5,0.5
3.70504194,-0.37460317,-3.08628929,0.39284748,0.5879378,0.5879378,0.39284748
2.83795093,-0.37460317,-4.38398268,0.27059805,0.65328148,0.65328148,0.27059805
1.54025754,-0.37460317,-5.25107369,0.13794969,0.69351992,0.69351992,0.13794969
0.00952381,-0.37460317,-5.55555556,0.0,0.70710678,0.70710678,0.0
